iter	RMSE
0	318.6175609
1	318.3805699
2	318.3228508
3	318.1000995
4	317.9415314
5	317.7986706
6	317.7496638
7	317.6892439
8	317.5447812
9	317.4628699
10	317.2226298
11	317.1798345
12	317.0466689
13	316.9589985
14	316.8239712
15	316.7383025
16	316.5796253
17	316.5336152
18	316.3909414
19	316.3473943
20	316.2792124
21	316.2345837
22	316.1156364
23	315.8795568
24	315.787926
25	315.7038476
26	315.5909988
27	315.4736845
28	315.4314455
29	315.4083259
30	315.3410649
31	315.3011885
32	315.1654717
33	315.101134
34	315.0750495
35	315.0339222
36	314.9784649
37	314.8689815
38	314.834245
39	314.737515
40	314.6398001
41	314.5412754
42	314.5175664
43	314.491952
44	314.4586323
45	314.385237
46	314.2856876
47	314.2623428
48	314.1125391
49	314.0594176
50	313.9504315
51	313.9352836
52	313.9048566
53	313.8908709
54	313.8726545
55	313.8449336
56	313.8068887
57	313.7509211
58	313.5878159
59	313.5380293
60	313.4612453
61	313.2942588
62	313.2195878
63	313.110092
64	313.0129608
65	312.9827188
66	312.863367
67	312.8371868
68	312.7566959
69	312.7413729
70	312.7231795
71	312.6480622
72	312.5656132
73	312.5219967
74	312.4505113
75	312.407402
76	312.341265
77	312.2867349
78	312.2243525
79	312.1911504
80	312.1718624
81	312.1521152
82	312.1154582
83	312.0733961
84	312.0468515
85	311.9884535
86	311.9706809
87	311.9407379
88	311.8717157
89	311.8556568
90	311.7977072
91	311.7425843
92	311.7191915
93	311.7109137
94	311.6821185
95	311.6664726
96	311.5682144
97	311.4637579
98	311.3935269
99	311.372817
100	311.3506101
101	311.3442952
102	311.2999474
103	311.2541909
104	311.2264593
105	311.1878088
106	311.1734947
107	311.1689406
108	311.0184587
109	310.9889987
110	310.8803362
111	310.8680332
112	310.7977842
113	310.7748432
114	310.6841373
115	310.6676251
116	310.6052377
117	310.5704235
118	310.5567489
119	310.4630046
120	310.4275348
121	310.3958501
122	310.3357382
123	310.3086529
124	310.2959307
125	310.2635541
126	310.2329287
127	310.1468014
128	310.0045498
129	309.9685777
130	309.8912213
131	309.8694462
132	309.7747826
133	309.769699
134	309.6692259
135	309.5802605
136	309.4916124
137	309.4558607
138	309.4325068
139	309.4223822
140	309.3882155
141	309.244545
142	309.1295349
143	309.0897396
144	309.0144547
145	308.9492091
146	308.85884
147	308.8243149
148	308.7280355
149	308.697331
150	308.6657798
151	308.6008982
152	308.4663339
153	308.4557146
154	308.4380228
155	308.4200338
156	308.3707509
157	308.2382313
158	308.1407497
159	308.0535069
160	308.0375697
161	308.0123059
162	307.9940064
163	307.9000494
164	307.8071062
165	307.7952088
166	307.7194469
167	307.6373184
168	307.5430755
169	307.5233664
170	307.514446
171	307.500684
172	307.4903013
173	307.4370373
174	307.2997272
175	307.2866003
176	307.2773289
177	307.2611189
178	307.236435
179	307.1830931
180	307.1532218
181	307.1081084
182	307.0937064
183	307.0661303
184	307.0078536
185	306.9062399
186	306.8846737
187	306.8708269
188	306.8541341
189	306.795902
190	306.6996671
191	306.6728122
192	306.5835295
193	306.5702845
194	306.5354733
195	306.4569531
196	306.3895029
197	306.3785999
198	306.3053262
199	306.2743118
200	306.2285657
201	306.133857
202	306.1257571
203	306.0408713
204	305.9660573
205	305.9467312
206	305.9215361
207	305.8782589
208	305.8437869
209	305.8197323
210	305.8112663
211	305.7658177
212	305.6852025
213	305.6080385
214	305.5341079
215	305.4970886
216	305.472559
217	305.4241875
218	305.3325565
219	305.2966762
220	305.2323035
221	305.1956006
222	305.1600741
223	305.1438576
224	304.8811214
225	304.7632932
226	304.7296228
227	304.6995486
228	304.697713
229	304.6356669
230	304.6253377
231	304.6010674
232	304.5157769
233	304.4777898
234	304.4342938
235	304.380066
236	304.298011
237	304.2860171
238	304.2428312
239	304.2074357
240	304.1789144
241	304.1524265
242	304.1490762
243	304.0930648
244	303.9871056
245	303.9512836
246	303.9449225
247	303.9158168
248	303.8763616
249	303.8117944
250	303.664838
251	303.6192477
252	303.5489002
253	303.5329218
254	303.5035286
255	303.4841554
256	303.453503
257	303.4403689
258	303.3805025
259	303.2888434
260	303.2513605
261	303.2374526
262	303.1989905
263	303.1689541
264	303.1383654
265	303.09393
266	303.0487447
267	303.0072367
268	303.0027278
269	302.9614382
270	302.9056627
271	302.7172372
272	302.632982
273	302.5738475
274	302.4931789
275	302.464018
276	302.4101671
277	302.3466663
278	302.2447306
279	302.1314501
280	302.0294507
281	301.92873
282	301.7978691
283	301.7500239
284	301.6637944
285	301.5693867
286	301.5480434
287	301.5099739
288	301.466851
289	301.3646255
290	301.3170852
291	301.3019139
292	301.2620623
293	301.1987065
294	301.1496686
295	301.0606144
296	300.9441392
297	300.8996476
298	300.8569857
299	300.7318032
300	300.7179173
301	300.6510969
302	300.6470034
303	300.6171527
304	300.5392584
305	300.4426646
306	300.4233182
307	300.3762757
308	300.3550807
309	300.332595
310	300.3004571
311	300.2729646
312	300.249814
313	300.1961276
314	300.1682016
315	300.1361223
316	300.1094292
317	300.0123674
318	299.9139154
319	299.8025448
320	299.6850957
321	299.618074
