iter	Passed	Remaining
0	1	2719
1	2	2598
2	3	2617
3	5	2570
4	6	2512
5	7	2528
6	9	2593
7	10	2583
8	11	2551
9	12	2529
10	13	2521
11	15	2499
12	16	2495
13	17	2482
14	18	2478
15	19	2467
16	21	2464
17	22	2456
18	23	2449
19	24	2438
20	25	2438
21	26	2425
22	28	2422
23	29	2423
24	30	2420
25	31	2412
26	33	2412
27	34	2414
28	35	2412
29	36	2374
30	37	2373
31	38	2373
32	39	2377
33	41	2374
34	42	2368
35	43	2362
36	44	2357
37	45	2357
38	46	2354
39	48	2354
40	49	2352
41	50	2354
42	51	2349
43	52	2347
44	54	2347
45	55	2338
46	56	2329
47	57	2322
48	58	2315
49	59	2307
50	60	2300
51	61	2287
52	62	2278
53	62	2257
54	63	2249
55	64	2243
56	65	2237
57	66	2226
58	67	2223
59	68	2219
60	69	2208
61	70	2203
62	71	2198
63	72	2194
64	73	2189
65	74	2184
66	75	2180
67	76	2174
68	77	2171
69	78	2164
70	79	2149
71	80	2146
72	81	2144
73	82	2141
74	83	2137
75	84	2134
76	85	2131
77	86	2127
78	87	2124
79	88	2120
80	89	2115
81	90	2112
82	91	2108
83	92	2105
84	93	2102
85	94	2099
86	95	2095
87	96	2092
88	97	2089
89	98	2086
90	99	2083
91	100	2080
92	101	2078
93	101	2067
94	103	2065
95	104	2062
96	104	2059
97	106	2060
98	107	2060
99	108	2057
100	109	2054
101	109	2043
102	110	2041
103	111	2039
104	112	2037
105	113	2035
106	114	2032
107	115	2023
108	116	2022
109	117	2019
110	118	2018
111	119	2013
112	120	2011
113	121	2006
114	122	2005
115	123	2002
116	124	2001
117	125	1999
118	126	1997
119	127	1995
120	128	1993
121	129	1991
122	130	1989
123	131	1987
124	132	1984
125	133	1983
126	134	1981
127	135	1979
128	136	1978
129	137	1977
130	138	1975
131	139	1973
132	140	1972
133	141	1970
134	142	1969
135	143	1969
136	144	1968
137	145	1966
138	146	1964
139	147	1961
140	148	1960
141	149	1958
142	150	1957
143	151	1957
144	152	1956
145	153	1955
146	154	1953
147	155	1952
148	157	1951
149	158	1950
150	159	1948
151	160	1946
152	161	1946
153	162	1945
154	163	1944
155	164	1943
156	165	1941
157	166	1940
158	167	1938
159	168	1937
160	169	1935
161	170	1934
162	171	1933
163	172	1933
164	173	1931
165	174	1930
166	175	1929
167	176	1929
168	178	1929
169	179	1927
170	180	1926
171	181	1924
172	182	1922
173	183	1921
174	184	1920
175	185	1918
176	185	1913
177	186	1912
178	187	1910
179	188	1909
180	189	1907
181	190	1906
182	191	1904
183	192	1903
184	194	1903
185	195	1902
186	196	1901
187	197	1899
188	198	1897
189	199	1896
190	200	1895
191	201	1894
